week_start,week_end,week_number,year_number,partner_count,Promo,Natural Search Visits,competitor_change_flag,channel 0_spend,channel 0_clicks,channel 0_impressions,Channel 14_spend,Channel 14_clicks,Channel 14_impressions,Channel 1_spend,Channel 1_clicks,Channel 1_impressions,Channel 2_spend,Channel 2_clicks,Channel 2_impressions,Channel 3_spend,Channel 3_clicks,Channel 3_impressions,Channel 15_spend,Channel 15_clicks,Channel 15_impressions,Channel 4_spend,Channel 4_clicks,Channel 4_impressions,Channel 5_spend,Channel 5_clicks,Channel 5_impressions,Channel 6_spend,Channel 6_clicks,Channel 6_impressions,Channel 7_spend,Channel 7_clicks,Channel 7_impressions,Channel 8_spend,Channel 8_clicks,Channel 8_impressions,Channel 9_spend,Channel 9_clicks,Channel 9_impressions,Channel 10_spend,Channel 10_clicks,Channel 10_impressions,Channel 11_spend,Channel 11_clicks,Channel 11_impressions,Channel 12_spend,Channel 12_clicks,Channel 12_impressions,Channel 13_spend,Channel 13_clicks,Channel 13_impressions,Subscriptions
6/27/2022,7/3/2022,27,2022,13,0,29985.60969,0,1111.1445725831536,914.1986874,2463.196081,1774.2431647794979,231.5270945,16641.69091,,,,1347.275933264341,986.091265,151447.1091,5974.220364,745.7805478,6154.629644,32926.60248581483,755.6803947,28081.25083,,,,,,,27807.466801712184,324.5662157,297677.3063,12234.01538468109,840.8177567,724142.9718,,,,,,,,,,,,,,,,,,,200.1644418
7/4/2022,7/10/2022,28,2022,15,0,23840.52883,0,1404.4641794588176,2159.410668,7165.857932,5817.086991,858.8182821,44099.09755,,,,2616.228620745186,1158.213683,155568.5615,13241.295716888475,2217.409593,12521.9371,20186.001519754464,787.8586662,42831.406,,,,,,,23518.13799976556,532.231527,602453.6637,43305.79890609594,837.8429574,739442.2127,,,,,,,,,,,,,,,,,,,270.8961784
7/11/2022,7/17/2022,29,2022,12,1,13563.3426,0,2744.381149415053,2842.643411,8888.290102,3005.0000613978805,620.1831642,-7078.667748,,,,1700.2801672657527,218.8691277,21675.68302,4848.624945017942,3676.975019,13385.37218,17109.51139038549,421.1813716,35623.00565,,,,,,,18190.32594969837,488.0149739,186448.127,12882.54105172561,207.8485772,260392.8297,,,,,,,,,,,,,,,,,,,232.5381143
7/18/2022,7/24/2022,30,2022,12,1,19861.3717,0,3493.213502519905,2637.664279,8121.417707,2103.6369014942693,-31.02657578,4298.375425,,,,740.9969526129195,135.8767076,49208.31613,4264.055468800954,2583.516648,9246.030552,24322.956580439706,946.6293279,38551.37514,,,,21567.540181215412,2156.494746,62798.99659,4081.1509005110565,99.19537173,218090.3967,18703.338646635017,1263.280345,202374.1016,,,,,,,,,,,,,,,,,,,211.083653
7/25/2022,7/31/2022,31,2022,15,1,18001.94172,0,3507.389674225521,2797.310817,7021.661746,,,,,,,530.0631649329057,167.3244028,-11284.00606,4362.9602912186565,4123.493337,11974.29622,3549.121942,652.7372015,41566.71438,,,,3844.065658048038,2260.353301,13775.04796,10996.84915356548,405.6151245,-32657.88725,21550.924569727005,-121.8246374,154708.4436,,,,,,,,,,,,,5153.713746438508,792.7207144,19118.34153,,,,238.6474655
8/1/2022,8/7/2022,32,2022,14,1,24598.70139,0,2322.107604492561,2196.677827,7965.166513,,,,,,,831.1706909312552,-18.26087478,20382.79843,9016.248605125547,2374.79979,12641.08553,19418.485837419226,960.2575022,38673.6163,,,,5111.9879160692435,1945.30398,16133.26533,,,,,,,,,,,,,,,,,,,5892.745601733433,518.1819667,158607.6206,,,,287.7073395
8/8/2022,8/14/2022,33,2022,19,0,20990.1017,0,4489.6543214938865,2851.978783,11021.64154,3029.197095016653,-31.61297611,-2782.506651,,,,754.2724018797276,223.931947,-37040.82869,6766.262022457576,1947.093604,10204.83023,20375.502467553262,783.4341409,21218.58784,,,,,,,6740.625512065523,187.8826743,85433.67263,30783.53153794102,788.4270121,305144.5937,,,,,,,,,,,,,4440.935424225173,202.902807,196347.3516,,,,243.5644793
8/15/2022,8/21/2022,34,2022,14,1,13537.20941,0,4615.423533876872,3128.02619,8134.82484,1794.4750566844295,54.68032357,5899.165237,,,,701.9171956429461,4.00166228,14774.5498,16404.553625327197,4513.841243,12441.64255,34660.61483782359,1627.322126,30090.03632,,,,11815.336832071944,1277.4087,69851.01736,30826.97422272689,346.3852085,196286.4616,29952.58185240609,1175.880781,875990.0176,,,,,,,,,,,,,14860.852135402572,717.044117,81475.74681,,,,345.3127383
8/22/2022,8/28/2022,35,2022,15,1,15483.03601,0,5122.309364680442,2001.969239,12870.48632,3027.264044518495,8.628123903,-7506.538149,,,,2489.712281332697,1690.86603,220330.0474,24556.739152011713,3472.492476,9856.14324,16841.15292931883,1253.102978,43169.81505,,,,16120.774969683584,10374.90627,74902.99516,23366.27740578443,425.4967177,334913.4621,32855.43932237422,1544.131884,1063963.543,,,,,,,,,,,,,3263.4993063088373,158.4552749,114906.6789,,,,307.2839915
8/29/2022,9/4/2022,36,2022,16,0,18092.52569,0,2125.737918557128,2913.899971,9983.252985,1153.1795312889196,99.69417319,875.9993757,,,,2092.5094095425156,412.676479,132755.3269,5264.985220198271,1158.951352,19015.77758,12453.978229301003,387.262518,33442.3394,,,,18556.191086510382,38543.90239,50189.69196,11372.367802199336,826.9177533,278574.1208,34961.36829561593,1936.597348,706709.2898,,,,,,,,,,,,,10765.373806548396,377.4797025,179385.4298,,,,343.1051549
